word,count
00,4
w1-w4,4
jle,3
headers,3
any,3
78,3
_write,3
"cx,0",3
whole,3
"ah,2h",3
go,3
x3,3
16bits,3
